delay,costs_pips,slippage_std,mean_net,std_net,n_trades,win_rate,sharpe
0,0.3,0.0,0.24513012258282776,6.085177716490636,3703,0.5311909262759924,2.9405436500269455
0,0.3,0.1,0.24329124202340593,6.08628955279908,3703,0.5306508236564947,2.9253883496529243
0,0.3,0.2,0.23963397355695962,6.079382956315784,3703,0.5274102079395085,2.8897566830363086
0,0.3,0.3,0.22628514736267175,6.0980732580156465,3703,0.5263300027005131,2.714642126784606
0,0.5,0.0,0.04303240569970868,6.082307861796985,3703,0.5122873345935728,0.5162693643921091
0,0.5,0.1,0.04304886050113892,6.0895959527546655,3703,0.5125573859033217,0.5179557685325041
0,0.5,0.2,0.052115476011900044,6.090184785717547,3703,0.5128274372130704,0.629733919239718
0,0.5,0.3,0.05233636748558561,6.084994374228173,3703,0.5141776937618148,0.6313424480906452
0,0.8,0.0,-0.2542066933158504,6.083733942610439,3703,0.4798811774237105,-3.0608110265791493
0,0.8,0.1,-0.2549445570750917,6.084368058453496,3703,0.4804212800432082,-3.0716062009998595
0,0.8,0.2,-0.2598697108641544,6.092321124056453,3703,0.4782608695652174,-3.115964881735918
0,0.8,0.3,-0.25685085247389483,6.092477074289587,3703,0.4782608695652174,-3.0708002648394928
1,0.3,0.0,-0.19096416230058266,3.55257597843526,4716,0.4245122985581001,-4.431076540690113
1,0.3,0.1,-0.1899971612581276,3.560483549984295,4716,0.4217557251908397,-4.421077507700745
1,0.3,0.2,-0.18770596842997012,3.5591077214020577,4716,0.4223918575063613,-4.318638024315447
1,0.3,0.3,-0.19132981668159066,3.5723678126505214,4716,0.4268447837150127,-4.413399636843492
1,0.5,0.0,-0.394272292321186,3.555747257694178,4716,0.37319762510602206,-8.959028892729348
1,0.5,0.1,-0.39166148396947653,3.553694514577531,4716,0.3742578456318914,-8.895812143695702
1,0.5,0.2,-0.39144939302463344,3.5628255986395883,4716,0.3727735368956743,-8.99459631951561
1,0.5,0.3,-0.38993326642334014,3.555825366016357,4716,0.38019508057676,-8.893578188116367
1,0.8,0.0,-0.6921922033480052,3.5545384815196797,4716,0.3104325699745547,-14.999969578685407
1,0.8,0.1,-0.6913739029334257,3.5545619195253946,4716,0.310008481764207,-15.016883745151683
1,0.8,0.2,-0.6971622205251573,3.5586892104431422,4716,0.31234096692111957,-14.969514507469661
1,0.8,0.3,-0.699958415588713,3.567540688134092,4716,0.3142493638676845,-15.043896723006489
2,0.3,0.0,-0.31675049401555766,3.584202453527491,4680,0.397008547008547,-6.694653003835772
2,0.3,0.1,-0.30987032123244507,3.5808511724110086,4680,0.4025641025641026,-6.562520187974283
2,0.3,0.2,-0.31132638009623814,3.5909560807538217,4680,0.402991452991453,-6.581746706159238
2,0.3,0.3,-0.3092573507297705,3.5997589075652323,4680,0.40213675213675215,-6.480482669321573
2,0.5,0.0,-0.5142030409774972,3.5788536329636336,4680,0.34636752136752136,-10.762238980772485
2,0.5,0.1,-0.5089554731162653,3.587988203945581,4680,0.34978632478632476,-10.631218112910656
2,0.5,0.2,-0.5143835966605542,3.588700828259704,4680,0.3547008547008547,-10.79698931268364
2,0.5,0.3,-0.5138936206302531,3.5927647625462704,4680,0.35833333333333334,-10.696052009600006
2,0.8,0.0,-0.8110437058119554,3.5834248518668836,4680,0.29123931623931626,-16.479277689239545
2,0.8,0.1,-0.8133324356863789,3.5858870532682374,4680,0.28846153846153844,-16.468329053369423
2,0.8,0.2,-0.8061004287809961,3.59176200996049,4680,0.2931623931623932,-16.355992343742116
2,0.8,0.3,-0.8190020004278765,3.59847784753911,4680,0.2938034188034188,-16.496176661656897
