mode,horizon_m,threshold,n_trades,trades_wk,mean_net,hit_rate,sharpe,spread_med
mr,1,2.0,6695,180.24999999999997,-0.8777893950709384,0.2736370425690814,-0.3897719316715768,0.8999999999992347
mr,2,2.0,6500,174.99999999999997,-0.8842153846153676,0.3173846153846154,-0.3041524501334851,0.8999999999992347
mr,5,2.0,6141,165.33461538461538,-0.8775769418661341,0.3533626445204364,-0.21310202725612734,0.8999999999992347
mr,10,2.0,5721,154.02692307692305,-0.9364097185806514,0.3649711588883062,-0.18557631182730427,0.8999999999992347
mr,1,2.5,2348,63.21538461538461,-0.9309199318568891,0.28023850085178875,-0.35761952103328587,0.8999999999992347
mr,2,2.5,2318,62.4076923076923,-0.8670405522001494,0.32269197584124243,-0.2693740252502153,0.8999999999992347
mr,5,2.5,2268,61.061538461538454,-0.8313492063491985,0.36243386243386244,-0.1837150344079335,0.8999999999992347
mr,10,2.5,2202,59.28461538461538,-0.8015894641235026,0.3837420526793824,-0.1445723456298072,0.8999999999992347
mr,1,3.0,988,26.599999999999998,-0.8747975708502138,0.31376518218623484,-0.291666796321397,0.8999999999992347
mr,2,3.0,982,26.438461538461535,-0.7859470468432045,0.35234215885947046,-0.20673926504118958,0.8999999999992347
mr,5,3.0,969,26.088461538461537,-0.7822497420020625,0.38390092879256965,-0.15266481294868828,0.8999999999992347
mr,10,3.0,950,25.576923076923073,-0.6620000000000082,0.4168421052631579,-0.10899565697237716,0.8999999999992347
pred,2,0.3,1822,49.05384615384615,-0.9014270032930745,0.41437980241492867,-0.14104647873909723,0.9000000000014552
pred,2,0.5,955,25.71153846153846,-0.9051308900523406,0.4387434554973822,-0.12873925563985367,0.9999999999998899
pred,2,0.8,482,12.976923076923075,-0.8400414937759456,0.44398340248962653,-0.10706003991657456,0.9999999999998899
pred,2,1.0,328,8.83076923076923,-0.98902439024391,0.45426829268292684,-0.1175604630350402,0.9999999999998899
pred,2,1.5,135,3.634615384615384,-1.50888888888879,0.4222222222222222,-0.1534142808916673,0.9999999999998899
pred,2,2.0,71,1.9115384615384614,-1.5281690140842292,0.49295774647887325,-0.15936416663781816,0.9000000000014552
pred,5,0.3,1085,29.21153846153846,-0.6748387096773789,0.46175115207373274,-0.07261463832771227,0.9000000000014552
pred,5,0.5,700,18.846153846153843,-0.7229999999999658,0.45571428571428574,-0.07151648535932927,0.9000000000014552
pred,5,0.8,371,9.988461538461538,-0.9137466307278417,0.4609164420485175,-0.08471089421577013,0.9000000000014552
pred,5,1.0,272,7.323076923076923,-1.2367647058823734,0.4227941176470588,-0.11108026609794117,0.9000000000014552
pred,5,1.5,108,2.9076923076923076,-0.8055555555556516,0.4074074074074074,-0.06577203118548387,0.9999999999998899
pred,5,2.0,60,1.6153846153846152,-2.10166666666678,0.38333333333333336,-0.15254354131040812,0.9500000000006725
pred,10,0.3,1087,29.265384615384612,-0.7359705611775391,0.48666053357865685,-0.06672213460824909,0.9000000000014552
pred,10,0.5,410,11.038461538461538,-1.1053658536584994,0.43658536585365854,-0.08331500057891178,0.9999999999998899
pred,10,0.8,236,6.3538461538461535,-2.0161016949152617,0.4279661016949153,-0.14745746337087812,0.9999999999998899
pred,10,1.0,189,5.088461538461538,-2.2968253968254064,0.42328042328042326,-0.16020667353612708,0.9999999999998899
pred,10,1.5,116,3.1230769230769226,-2.038793103448176,0.43103448275862066,-0.1290248302388012,0.9999999999998899
pred,10,2.0,59,1.5884615384615384,-5.4762711864405755,0.3898305084745763,-0.34428145931246845,0.9999999999998899
